url,perc,count
"https://berthub.eu/articles/report.json,32,10
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/,23,2
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",24,5
"https://berthub.eu/articles/report.json,38,11
"https://berthub.eu/articles/posts/europes-software-problem/",62,8
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",72,2
"https://berthub.eu/articles/posts/europes-software-problem/",64,4
"https://berthub.eu/articles/posts/dutch-reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/,16,2
"https://berthub.eu/articles/posts/dutch-reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/,46,8
"https://berthub.eu/articles/posts/dutch-reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/,95,10
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/,73,2
"https://berthub.eu/articles/posts/dutch-reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/,95,11
"https://berthub.eu/articles/posts/curevac-vaccine-and-wonders-of-biology/",59,4
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",94,12
"https://berthub.eu/articles/posts/hoe-werken-de-nieuwe-corona-vaccins/",66,6
"https://berthub.eu/articles/posts/how-tech-loses-out/",43,3
"https://berthub.eu/articles/posts/europes-software-problem/",39,2
"https://berthub.eu/articles/posts/how-tech-loses-out/",63,10
"https://berthub.eu/articles/posts/german-reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",90,25
"https://berthub.eu/articles/posts/hoe-werken-de-nieuwe-corona-vaccins/",40,4
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",6,3
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",46,20
"https://berthub.eu/articles/posts/europes-software-problem/",22,1
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",8,3
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",8,4
"https://berthub.eu/articles/posts/corona-delta-update/",7,1
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",51,28
"https://berthub.eu/articles/posts/how-tech-loses-out/",10,2
"https://berthub.eu/articles/posts/how-tech-loses-out/",14,3
"https://berthub.eu/articles/posts/europes-software-problem/",61,4
"https://berthub.eu/articles/posts/europes-software-problem/",19,1
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",51,20
"https://berthub.eu/articles/posts/corona-delta-update/",35,6
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",52,21
"https://berthub.eu/articles/posts/how-tech-loses-out/",84,25
"https://berthub.eu/articles/posts/immune-system/",24,2
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",51,35
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",51,36
"https://berthub.eu/articles/posts/europes-software-problem/",58,6
"https://berthub.eu/articles/posts/how-tech-loses-out/",90,24
"https://berthub.eu/articles/posts/how-tech-loses-out/",0,4
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",36,2
"https://berthub.eu/articles/posts/cpp-2/",38,9
"https://berthub.eu/articles/posts/dutch-reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",,
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",44,4
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",11,2
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",16,3
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",21,5
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",26,7
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",59,4
"https://berthub.eu/articles/posts/useful-spy-books/",61,11
"https://berthub.eu/articles/posts/europes-software-problem/",31,1
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",38,18
"https://berthub.eu/articles/posts/german-reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",91,2
"https://berthub.eu/articles/posts/cpp-3/",77,11
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",100,4
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",51,22
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",6,1
"https://berthub.eu/articles/posts/antibodies/",,
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",31,7
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",13,3
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",10,1
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",28,8
"https://berthub.eu/articles/posts/cpp-4/",44,13
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",7,1
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",58,54
"https://berthub.eu/articles/posts/europes-software-problem/",16,1
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",26,7
"https://berthub.eu/articles/posts/dont-ruin-the-root/",9,1
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",42,6
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",27,1
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",7,3
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",6,2
"https://berthub.eu/articles/posts/europes-software-problem/",71,14
"https://berthub.eu/articles/posts/reverse-engineering-source-code-of-the-biontech-pfizer-vaccine/",42,16
"https://berthub.eu/articles/posts/reed-solomon-for-programmers/",58,4
"https://berthub.eu/articles/posts/europes-software-problem/",96,17
"https://berthub.eu/articles/posts/dont-ruin-the-root/",19,3
